Names,Birthday,Reignend,ReignStart,ReignSpan,Age,ReignDays
Prithvi Narayan Shah,1723-01-07,1775-01-11,1768-09-25,6,52,2299
Pratap Singh Shah,1751-04-16,1777-11-17,1775-01-11,3,27,1041
Rana Bahadur Shah,1775-05-25,1799-03-08,1777-11-17,21,24,7781
Girvan Yuddha Bikram Shah,1797-10-19,1816-11-20,1799-03-08,18,19,6466
Rajendra Bikram Shah,1813-12-03,1847-05-12,1816-11-20,30,33,11130
Surendra Bikram Shah,1829-10-20,1881-05-17,1847-05-12,34,52,12424
Prithvi Bir Bikram Shah,1875-08-18,1911-12-11,1881-05-17,31,36,11164
Tribhuvan Bir Bikram Shah,1906-06-30,1950-11-07,1911-12-11,39,44,14211
Gyanendra Bir Bikram Shah,1946-07-07,1951-01-07,1950-11-07,0,5,61
Tribhuvan Bir Bikram Shah,1906-06-30,1955-03-13,1951-01-07,4,49,1526
Mahendra Bir Bikram Shah,1920-06-11,1972-01-31,1955-03-14,17,52,6167
Birendra Bir Bikram Shah,1944-12-28,2001-06-01,1972-01-31,29,56,10714
Dipendra Bir Bikram Shah,1971-06-27,2001-06-04,2001-06-01,0,30,3
Gyanendra Bir Bikram Shah,1946-07-07,2008-05-28,2001-06-04,7,62,2550
